url,category,country,region
https://www.spiegel.de/,News,DE,EU Core
https://www.bild.de/,News,DE,EU Core
https://www.zeit.de/,News,DE,EU Core
https://www.faz.net/,News,DE,EU Core
https://www.sueddeutsche.de/,News,DE,EU Core
https://www.amazon.de/,E-commerce,DE,EU Core
https://www.otto.de/,E-commerce,DE,EU Core
https://www.zalando.de/,E-commerce,DE,EU Core
https://www.ebay.de/,E-commerce,DE,EU Core
https://www.lidl.de/,E-commerce,DE,EU Core
https://www.deutsche-bank.de/,Finance,DE,EU Core
https://www.commerzbank.de/,Finance,DE,EU Core
https://www.sparkasse.de/,Finance,DE,EU Core
https://www.bmw.de/,Automotive,DE,EU Core
https://www.mercedes-benz.de/,Automotive,DE,EU Core
https://www.volkswagen.de/,Automotive,DE,EU Core
https://www.audi.de/,Automotive,DE,EU Core
https://www.bahn.de/,Travel,DE,EU Core
https://www.lufthansa.com/de/de/homepage,Travel,DE,EU Core
https://www.t-online.de/,Portal,DE,EU Core
https://web.de/,Portal,DE,EU Core
https://gmx.net/,Portal,DE,EU Core
https://www.telekom.de/,Telecom,DE,EU Core
https://www.vodafone.de/,Telecom,DE,EU Core
https://www.o2online.de/,Telecom,DE,EU Core
https://www.adidas.de/,Retail,DE,EU Core
https://www.puma.de/,Retail,DE,EU Core
https://www.bosch.de/,Industrial,DE,EU Core
https://www.siemens.com/de/de.html,Industrial,DE,EU Core
https://www.bayer.de/,Pharma,DE,EU Core
https://www.sap.com/germany/index.html,Tech,DE,EU Core
https://www.henkel.de/,Consumer Goods,DE,EU Core
https://www.basf.com/de/,Chemicals,DE,EU Core
https://www.allianz.de/,Insurance,DE,EU Core
https://www.dkb.de/,Finance,DE,EU Core
https://www.ing.de/,Finance,DE,EU Core
https://www.check24.de/,Comparison,DE,EU Core
https://www.immobilienscout24.de/,Real Estate,DE,EU Core
https://www.stepstone.de/,Jobs,DE,EU Core
https://www.xing.com/,Social,DE,EU Core
https://www.bundesregierung.de/,Government,DE,EU Core
https://www.destatis.de/,Government,DE,EU Core
https://www.lemonde.fr/,News,FR,EU Core
https://www.lefigaro.fr/,News,FR,EU Core
https://www.liberation.fr/,News,FR,EU Core
https://www.lequipe.fr/,News,FR,EU Core
https://www.lesechos.fr/,News,FR,EU Core
https://www.amazon.fr/,E-commerce,FR,EU Core
https://www.fnac.com/,E-commerce,FR,EU Core
https://www.cdiscount.com/,E-commerce,FR,EU Core
https://www.carrefour.fr/,E-commerce,FR,EU Core
https://www.auchan.fr/,E-commerce,FR,EU Core
https://www.darty.com/,E-commerce,FR,EU Core
https://www.leroymerlin.fr/,E-commerce,FR,EU Core
https://www.vente-privee.com/,E-commerce,FR,EU Core
https://www.bnpbaribas.fr/,Finance,FR,EU Core
https://www.societegenerale.fr/,Finance,FR,EU Core
https://www.credit-agricole.fr/,Finance,FR,EU Core
https://www.labanquepostale.fr/,Finance,FR,EU Core
https://www.renault.fr/,Automotive,FR,EU Core
https://www.peugeot.fr/,Automotive,FR,EU Core
https://www.citroen.fr/,Automotive,FR,EU Core
https://www.sncf-connect.com/,Travel,FR,EU Core
https://www.airfrance.fr/,Travel,FR,EU Core
https://www.ratp.fr/,Travel,FR,EU Core
https://www.orange.fr/,Telecom,FR,EU Core
https://www.sfr.fr/,Telecom,FR,EU Core
https://www.bouyguestelecom.fr/,Telecom,FR,EU Core
https://www.free.fr/,Telecom,FR,EU Core
https://www.lvmh.fr/,Luxury,FR,EU Core
https://www.kering.com/,Luxury,FR,EU Core
https://www.loreal.com/fr/,Consumer Goods,FR,EU Core
https://www.danone.fr/,Consumer Goods,FR,EU Core
https://www.michelin.fr/,Industrial,FR,EU Core
https://www.totalenergies.fr/,Energy,FR,EU Core
https://www.edf.fr/,Energy,FR,EU Core
https://www.axa.fr/,Insurance,FR,EU Core
https://www.pagesjaunes.fr/,Directory,FR,EU Core
https://www.leboncoin.fr/,Classifieds,FR,EU Core
https://www.doctolib.fr/,Health,FR,EU Core
https://www.pole-emploi.fr/,Jobs,FR,EU Core
https://www.service-public.fr/,Government,FR,EU Core
https://www.gouvernement.fr/,Government,FR,EU Core
https://www.caf.fr/,Government,FR,EU Core
https://www.ameli.fr/,Government,FR,EU Core
https://www.impots.gouv.fr/,Government,FR,EU Core
https://www.bol.com/,E-commerce,NL,EU Core
https://www.ah.nl/,E-commerce,NL,EU Core
https://www.coolblue.nl/,E-commerce,NL,EU Core
https://www.jumbo.com/,E-commerce,NL,EU Core
https://www.wehkamp.nl/,E-commerce,NL,EU Core
https://www.marktplaats.nl/,Classifieds,NL,EU Core
https://www.telegraaf.nl/,News,NL,EU Core
https://www.ad.nl/,News,NL,EU Core
https://www.volkskrant.nl/,News,NL,EU Core
https://www.nrc.nl/,News,NL,EU Core
https://www.nu.nl/,News,NL,EU Core
https://www.ing.nl/,Finance,NL,EU Core
https://www.abnamro.nl/,Finance,NL,EU Core
https://www.rabobank.nl/,Finance,NL,EU Core
https://www.ns.nl/,Travel,NL,EU Core
https://www.klm.com/,Travel,NL,EU Core
https://www.transavia.com/,Travel,NL,EU Core
https://www.kpn.com/,Telecom,NL,EU Core
https://www.vodafone.nl/,Telecom,NL,EU Core
https://www.t-mobile.nl/,Telecom,NL,EU Core
https://www.ziggo.nl/,Telecom,NL,EU Core
https://www.philips.nl/,Tech,NL,EU Core
https://www.heineken.com/nl/,Consumer Goods,NL,EU Core
https://www.unilever.nl/,Consumer Goods,NL,EU Core
https://www.shell.nl/,Energy,NL,EU Core
https://www.postnl.nl/,Logistics,NL,EU Core
https://www.randstad.nl/,Jobs,NL,EU Core
https://www.rijksoverheid.nl/,Government,NL,EU Core
https://www.belastingdienst.nl/,Government,NL,EU Core
https://www.svb.nl/,Government,NL,EU Core
https://www.kvk.nl/,Government,NL,EU Core
https://www.politie.nl/,Government,NL,EU Core
https://www.tudelft.nl/,Education,NL,EU Core
https://www.uva.nl/,Education,NL,EU Core
https://www.uu.nl/,Education,NL,EU Core
https://www.maastrichtuniversity.nl/,Education,NL,EU Core
https://www.eur.nl/,Education,NL,EU Core
https://www.thuisbezorgd.nl/,Services,NL,EU Core
https://www. funda.nl/,Real Estate,NL,EU Core
https://www.independer.nl/,Comparison,NL,EU Core
https://www.anwb.nl/,Services,NL,EU Core
https://tweakers.net/,Tech,NL,EU Core
https://www.vpro.nl/,Media,NL,EU Core
https://www.npo.nl/,Media,NL,EU Core
https://www.irishtimes.com/,News,IE,EU Core
