url,status,total_purposes_count,purposes_json,error_log
https://eu.puma.com/ie/en/home,Partial - Interaction or Parsing Failed,0,[],['No interactive settings path or no purposes found after click.']
https://www.adobe.com/ie/,Partial - Interaction or Parsing Failed,0,[],['No interactive settings path or no purposes found after click.']
https://www2.hm.com/en_ie/index.html,Partial - Interaction or Parsing Failed,0,[],['No interactive settings path or no purposes found after click.']
https://www.rte.ie/,Success,14,"[{""title"": ""Performance Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Functional Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Targeting Cookies and Third-Party Embeds"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Store and/or access information on a device17 partners can use this purpose"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Develop and improve services17 partners can use this purpose"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Measure content performance6 partners can use this purpose"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Understand audiences through statistics or combinations of data from different sources11 partners can use this purpose"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Use limited data to select advertising17 partners can use this purpose"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Create profiles for personalised advertising14 partners can use this purpose"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Use profiles to select personalised advertising13 partners can use this purpose"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Create profiles to personalise content3 partners can use this purpose"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Use profiles to select personalised content3 partners can use this purpose"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Measure advertising performance20 partners can use this purpose"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Use precise geolocation data7 partners can use this special feature"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}]",[]
https://www.did.ie/,Partial - Interaction or Parsing Failed,0,[],['No interactive settings path or no purposes found after click.']
https://www.amazon.ie/,Partial - Interaction or Parsing Failed,0,[],['No interactive settings path or no purposes found after click.']
https://www.zalando.ie/,Partial - Interaction or Parsing Failed,0,[],['No interactive settings path or no purposes found after click.']
https://deliveroo.ie/,Success,3,"[{""title"": ""Analytics Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Functional Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Advertising Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}]",[]
https://www.irishtimes.com/,Success,10,"[{""title"": ""Functional Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Performance Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Targeting Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Social Media Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""IAB Features"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""IAB Special Purposes"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Personalised advertising and content, advertising and content measurement, audience research and services development77 partners can use this purpose"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Store and/or access information on a device68 partners can use this purpose"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Use precise geolocation data29 partners can use this purpose"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Actively scan device characteristics for identification11 partners can use this purpose"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}]",[]
https://www.independent.ie/,Partial - Interaction or Parsing Failed,0,[],['No interactive settings path or no purposes found after click.']
https://www.breakingnews.ie/,Success,8,"[{""title"": ""Functional Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Performance Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Targeting Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Social Media Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Personalised advertising and content, advertising and content measurement, audience research and services development75 partners can use this purpose"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Store and/or access information on a device66 partners can use this purpose"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Use precise geolocation data27 partners can use this purpose"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Actively scan device characteristics for identification10 partners can use this purpose"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}]",[]
https://www.joe.ie/,Partial - Interaction or Parsing Failed,0,[],['No interactive settings path or no purposes found after click.']
https://www.her.ie/,Failed,0,[],['Attempt 3: TimeoutException']
https://www.thejournal.ie/,Success,9,"[{""title"": ""Social Media Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Targeting Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Functional Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Performance Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Store and/or access information on a device137 partners can use this purpose"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Personalised advertising and content, advertising and content measurement, audience research and services development178 partners can use this purpose"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Use precise geolocation data60 partners can use this special feature"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Actively scan device characteristics for identification30 partners can use this special feature"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Custom Vendors"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}]",[]
https://www.rsvplive.ie/,Partial - Interaction or Parsing Failed,0,[],['No interactive settings path or no purposes found after click.']
https://www.eir.ie/,Partial - Interaction or Parsing Failed,0,[],['No interactive settings path or no purposes found after click.']
https://www.aerlingus.com/,Success,4,"[{""title"": ""First Party Performance Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Performance Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Functional Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Targeting Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}]",[]
https://www.ryanair.com/ie/en,Failed,0,[],['Attempt 3: TimeoutException']
https://www.buseireann.ie/,Success,3,"[{""title"": ""Functional Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Performance Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Targeting Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}]",[]
https://www.irishrail.ie/,Partial - Interaction or Parsing Failed,0,[],['No interactive settings path or no purposes found after click.']
https://www.dublinbus.ie/,Partial - Interaction or Parsing Failed,0,[],['No interactive settings path or no purposes found after click.']
https://www.luas.ie/,Partial - Interaction or Parsing Failed,0,[],['No interactive settings path or no purposes found after click.']
https://www.revenue.ie/,Failed,0,[],['Attempt 3: TimeoutException']
https://www.gov.ie/,Partial - Interaction or Parsing Failed,0,[],['No interactive settings path or no purposes found after click.']
https://www.citizensinformation.ie/,Partial - Interaction or Parsing Failed,0,[],['No interactive settings path or no purposes found after click.']
https://www.hse.ie/,Success,3,"[{""title"": ""Analytical Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Functional Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""YouTube Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}]",[]
https://www.bonkers.ie/,Success,3,"[{""title"": ""Functional Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Performance Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Targeting Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}]",[]
https://www.bordgaisenergy.ie/,Success,3,"[{""title"": ""First Party Analytical Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": true}, {""title"": ""Functional Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Targeting Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}]",[]
https://www.electricireland.ie/,Partial - Interaction or Parsing Failed,0,[],['No interactive settings path or no purposes found after click.']
https://www.bankofireland.com/,Partial - Interaction or Parsing Failed,0,[],['No interactive settings path or no purposes found after click.']
https://www.aib.ie/,Partial - Interaction or Parsing Failed,0,[],['No interactive settings path or no purposes found after click.']
https://www.permanenttsb.ie/,Partial - Interaction or Parsing Failed,0,[],['No interactive settings path or no purposes found after click.']
https://www.ulsterbank.ie/,Success,4,"[{""title"": ""Customer Experience"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Functional Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Performance Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Targeting Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}]",[]
https://www.creditunion.ie/,Partial - Interaction or Parsing Failed,0,[],['No interactive settings path or no purposes found after click.']
https://www.dcu.ie/,Partial - Interaction or Parsing Failed,0,[],['No interactive settings path or no purposes found after click.']
https://www.tcd.ie/,Success,3,"[{""title"": ""Performance Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Advertising and Marketing Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Functional Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}]",[]
https://www.ucc.ie/,Partial - Interaction or Parsing Failed,0,[],['No interactive settings path or no purposes found after click.']
https://www.nuigalway.ie/,Failed,0,[],['Attempt 3: TimeoutException']
https://www.ul.ie/,Partial - Interaction or Parsing Failed,0,[],['No interactive settings path or no purposes found after click.']
https://www.maynoothuniversity.ie/,Partial - Interaction or Parsing Failed,0,[],['No interactive settings path or no purposes found after click.']
https://www.tudublin.ie/,Partial - Interaction or Parsing Failed,0,[],['No interactive settings path or no purposes found after click.']
https://www.supervalu.ie/,Success,3,"[{""title"": ""Performance Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Functional Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Targeting Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}]",[]
https://www.tesco.ie/,Failed,0,[],['Attempt 3: TimeoutException']
