url,timestamp,status,cmp_vendor,initial_banner_found,accept_all_present,reject_all_present,settings_button_present,settings_button_text,preference_center_accessed,total_purposes_count,pre_ticked_non_essential_count,strictly_necessary_count,purposes_json,vendor_count,legal_text_summary,error_log
https://eu.puma.com/ie/en/home,2025-06-16T03:37:42.398131,Partial (Interaction Failed),Unknown,True,False,False,False,,False,0,0,0,[],0,,['No button with positive settings keywords found.']
https://www.adobe.com/ie/,2025-06-16T03:37:48.261706,Partial (Interaction Failed),Unknown,True,False,False,False,,False,0,0,0,[],0,,['No buttons found in banner.']
https://www2.hm.com/en_ie/index.html,2025-06-16T03:37:52.639457,Partial (Interaction Failed),Unknown,True,True,False,False,,False,0,0,0,[],0,"We use first- and third-party cookies including other tracking technologies from third party publishers to give you the full functionality of our website, customize your user experience, perform analytics and deliver personalized advertising on our websites, apps and newsletters across internet and via social media platforms. For that purpose, we collect information about user, browsing patterns and device.

By clicking “Accept all cookies”, you accept and agree that we share this information with third parties, such as our advertising partners. By choosing ""Only required cookies"", optional cookies are blocked, limiting our delivery of tailored content and features. Click on “Cookie Settings” to customize your options. Visit our Cookie policy to learn more.

Cookie policy",['No button with positive settings keywords found.']
https://www.rte.ie/,2025-06-16T03:37:59.493257,Failed,Unknown,False,False,False,False,,False,0,0,0,[],0,,['Analysis failed: TimeoutException']
https://www.did.ie/,2025-06-16T03:38:15.605419,Partial (Interaction Failed),Unknown,True,False,False,False,,False,0,0,0,[],0,,['No button with positive settings keywords found.']
https://www.amazon.ie/,2025-06-16T03:38:23.902527,Partial (Interaction Failed),Unknown,True,False,False,False,,False,0,0,0,[],0,,['No buttons found in banner.']
https://www.zalando.ie/,2025-06-16T03:38:29.754118,Partial (Interaction Failed),Unknown,True,False,False,False,,False,0,0,0,[],0,,['No buttons found in banner.']
https://deliveroo.ie/,2025-06-16T03:38:34.877868,Success,Unknown,True,True,False,True,Customise,True,4,0,0,"[{""title"": ""Title Not Found"", ""description"": """", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Analytics Cookies"", ""description"": """", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Functional Cookies"", ""description"": """", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Advertising Cookies"", ""description"": """", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}]",0,,[]
https://www.irishtimes.com/,2025-06-16T03:38:44.382923,Failed,Unknown,False,False,False,False,,False,0,0,0,[],0,,['Analysis failed: TimeoutException']
https://www.independent.ie/,2025-06-16T03:39:00.091452,Success,Unknown,True,True,False,True,Manage,True,9,0,0,"[{""title"": ""Title Not Found"", ""description"": ""We and our partners measure how you engage with ads and content on our website and apps to make them better. We may also derive insights about which type of person sees ads and content to improve user experiences and to develop new products. We and our partners use online identifiers (e.g. a cookie- or sign-in ID) to uniquely identify you, your browser or device and collect data about your interaction such as how long the display was shown on the page and whether you clicked on it. We and our partners can also collect your IP address, non-precise location data and characteristics about your browser, operating system and device and can combine this information with other information previously collected, including information from other websites and apps and information you shared with us (e.g., gender and age)."", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Title Not Found"", ""description"": ""We and our partners measure how you engage with ads and content on our website and apps to make them better. We may also derive insights about which type of person sees ads and content to improve user experiences and to develop new products. We and our partners use online identifiers (e.g. a cookie- or sign-in ID) to uniquely identify you, your browser or device and collect data about your interaction such as how long the display was shown on the page and whether you clicked on it. We and our partners can also collect your IP address, non-precise location data and characteristics about your browser, operating system and device and can combine this information with other information previously collected, including information from other websites and apps and information you shared with us (e.g., gender and age)."", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Title Not Found"", ""description"": """", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Title Not Found"", ""description"": ""We and our partners create a profile about you and your interests (for example: man, sports fan, music lover) to suggest interesting content. We and our partners use  online identifiers (e.g. a cookie- or sign-in ID) to uniquely identify you or your browser or device and collect data about your visits such as your IP address, URL or page, non-precise location data and browser, operating system and device characteristics. We and our partners can combine this information with other information previously collected, including information from other websites and apps and information you shared with us (e.g., gender and age)."", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Title Not Found"", ""description"": ""We and our partners create a profile about you and your interests (for example: man, sports fan, music lover) to suggest interesting content. We and our partners use  online identifiers (e.g. a cookie- or sign-in ID) to uniquely identify you or your browser or device and collect data about your visits such as your IP address, URL or page, non-precise location data and browser, operating system and device characteristics. We and our partners can combine this information with other information previously collected, including information from other websites and apps and information you shared with us (e.g., gender and age)."", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Title Not Found"", ""description"": """", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Title Not Found"", ""description"": ""We create a profile about you and your interests (for example: man, sports fan, music lover) to show ads that are as relevant as possible. We and our partners use  online identifiers (e.g. a cookie- or sign-in ID) to uniquely identify you, your browser or device and collect data about your visits such as IP address, the URL or page, non-precise location data and browser, operating system and device characteristics. We and our partners can combine this information with other information previously collected, including information from other websites and apps and information you shared with us (e.g., gender and age)."", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Title Not Found"", ""description"": ""We create a profile about you and your interests (for example: man, sports fan, music lover) to show ads that are as relevant as possible. We and our partners use  online identifiers (e.g. a cookie- or sign-in ID) to uniquely identify you, your browser or device and collect data about your visits such as IP address, the URL or page, non-precise location data and browser, operating system and device characteristics. We and our partners can combine this information with other information previously collected, including information from other websites and apps and information you shared with us (e.g., gender and age)."", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Title Not Found"", ""description"": """", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}]",0,"Cookies and data processing on The Irish Independent

Mediahuis (‘we’) and partners use technologies such as cookies to store and access (personal) data – online identifiers (e.g., IP address, sign-in ID), non-precise location and information about your browser, operating system, device as well as insights into your use of this domain – on your device for the following purposes:
Advertising and content measurement, audience insights and product development;
Personalised content;
Personalised ads; and
Social media.
If you allow such use, click ""Accept"". If you do not want to allow all purposes, select ""Manage"".You can manage your preferences and object to processing based on legitimate interest at any time in your privacy settings. We will share your privacy preferences – for which purposes and partners you provided consent - with our partners.
Would you like more explanation about our use of your data? Read our privacy policy and cookie policy. More information on the use of your data by our partners you find here.
View our 207 partners Cookies and data processing on The Irish Independent

Mediahuis (‘we’) and partners use technologies such as cookies to store and access (personal) data – online identifiers (e.g., IP address, sign-in ID), non-precise location and information about your browser, operating system, device as well as insights into your use of this domain – on your device for the following purposes:
Advertising and content measurement, audience insights and product development;
Personalised content;
Personalised ads; and
Social media.
If you allow such use, click ""Accept"". If you do not want to allow all purposes, select ""Manage"".You can manage your preferences and object to processing based on legitimate interest at any time in your privacy settings. We will share your privacy preferences – for which purposes and partners you provided consent - with our partners.
Would you like more explanation about our use of your data? Read our privacy policy and cookie policy. More information on the use of your data by our partners you find here. Mediahuis (‘we’) and partners use technologies such as cookies to store and access (personal) data – online identifiers (e.g., IP address, sign-in ID), non-precise location and information about your browser, operating system, device as well as insights into your use of this domain – on your device for the following purposes:",[]
https://www.breakingnews.ie/,2025-06-16T03:39:10.742241,Failed,Unknown,False,False,False,False,,False,0,0,0,[],0,,['Analysis failed: TimeoutException']
